,device_uuid,date,feature1,feature2,feature3,user_registered,country,platform
0,da5e3464-d356-4572-b962-f2b57e730732,2016-05-01,13.0,10.4,7.8,True,AU,iOS
1,da5e3464-d356-4572-b962-f2b57e730732,2016-06-01,10.0,8.0,6.0,True,AU,iOS
2,da5e3464-d356-4572-b962-f2b57e730732,2016-07-01,5.0,4.0,3.0,True,AU,iOS
3,b7dbd47e-2739-4f7d-8a59-d1ec0f08d6d9,2016-04-01,6.0,4.800000000000001,3.5999999999999996,False,NL,iOS
4,b7dbd47e-2739-4f7d-8a59-d1ec0f08d6d9,2016-05-01,13.0,10.4,7.8,False,NL,iOS
5,b7dbd47e-2739-4f7d-8a59-d1ec0f08d6d9,2016-06-01,7.0,5.6000000000000005,4.2,False,NL,iOS
6,b7dbd47e-2739-4f7d-8a59-d1ec0f08d6d9,2016-07-01,11.0,8.8,6.6,False,NL,iOS
7,b7dbd47e-2739-4f7d-8a59-d1ec0f08d6d9,2016-08-01,12.0,9.600000000000001,7.199999999999999,False,NL,iOS
8,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2016-05-01,13.0,10.4,7.8,True,NL,Android
9,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2016-06-01,8.0,6.4,4.8,True,NL,Android
10,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2016-07-01,3.0,2.4000000000000004,1.7999999999999998,True,NL,Android
11,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2016-08-01,11.0,8.8,6.6,True,NL,Android
12,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2016-09-01,2.0,1.6,1.2,True,NL,Android
13,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2016-10-01,13.0,10.4,7.8,True,NL,Android
14,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2016-12-01,8.0,6.4,4.8,True,NL,Android
15,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2017-02-01,10.0,8.0,6.0,True,NL,Android
16,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2017-03-01,13.0,10.4,7.8,True,NL,Android
17,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2017-04-01,9.0,7.2,5.3999999999999995,True,NL,Android
18,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2017-05-01,3.0,2.4000000000000004,1.7999999999999998,True,NL,Android
19,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2017-06-01,5.0,4.0,3.0,True,NL,Android
20,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2017-07-01,2.0,1.6,1.2,True,NL,Android
21,72f6ec5c-a6ba-48b3-b0ab-eb80c618fba8,2017-08-01,7.0,5.6000000000000005,4.2,True,NL,Android
22,81e004fa-f59f-4019-b4c1-cebe5e779b3c,2016-10-01,10.0,8.0,6.0,True,NL,Android
23,81e004fa-f59f-4019-b4c1-cebe5e779b3c,2016-11-01,9.0,7.2,5.3999999999999995,True,NL,Android
24,81e004fa-f59f-4019-b4c1-cebe5e779b3c,2017-01-01,4.0,3.2,2.4,True,NL,Android
25,81e004fa-f59f-4019-b4c1-cebe5e779b3c,2017-02-01,3.0,2.4000000000000004,1.7999999999999998,True,NL,Android
26,81e004fa-f59f-4019-b4c1-cebe5e779b3c,2017-03-01,1.0,0.8,0.6,True,NL,Android
27,81e004fa-f59f-4019-b4c1-cebe5e779b3c,2017-04-01,12.0,9.600000000000001,7.199999999999999,True,NL,Android
28,81e004fa-f59f-4019-b4c1-cebe5e779b3c,2017-05-01,6.0,4.800000000000001,3.5999999999999996,True,NL,Android
29,81e004fa-f59f-4019-b4c1-cebe5e779b3c,2017-06-01,6.0,4.800000000000001,3.5999999999999996,True,NL,Android
30,81e004fa-f59f-4019-b4c1-cebe5e779b3c,2017-07-01,4.0,3.2,2.4,True,NL,Android
31,81e004fa-f59f-4019-b4c1-cebe5e779b3c,2017-08-01,12.0,9.600000000000001,7.199999999999999,True,NL,Android
