,device_uuid,date,feature1,feature2,feature3,platform,user_registered,country
0,512ff3c3-fa27-442d-a116-126ec5e46d0b,2016-09-01,2,1.6,1.2,Android,False,AU
1,8a7b8862-4490-4a45-89e4-6f909e09c3f6,2016-10-01,3,2.4000000000000004,1.7999999999999998,Android,False,AU
2,8a7b8862-4490-4a45-89e4-6f909e09c3f6,2016-11-01,10,8.0,6.0,Android,False,AU
3,8a7b8862-4490-4a45-89e4-6f909e09c3f6,2016-12-01,2,1.6,1.2,Android,False,AU
4,8a7b8862-4490-4a45-89e4-6f909e09c3f6,2017-01-01,10,8.0,6.0,Android,False,AU
5,8a7b8862-4490-4a45-89e4-6f909e09c3f6,2017-02-01,10,8.0,6.0,Android,False,AU
6,8a7b8862-4490-4a45-89e4-6f909e09c3f6,2017-03-01,9,7.2,5.3999999999999995,Android,False,AU
7,8a7b8862-4490-4a45-89e4-6f909e09c3f6,2017-04-01,10,8.0,6.0,Android,False,AU
8,8a7b8862-4490-4a45-89e4-6f909e09c3f6,2017-05-01,10,8.0,6.0,Android,False,AU
9,8a7b8862-4490-4a45-89e4-6f909e09c3f6,2017-06-01,3,2.4000000000000004,1.7999999999999998,Android,False,AU
10,8a7b8862-4490-4a45-89e4-6f909e09c3f6,2017-07-01,10,8.0,6.0,Android,False,AU
11,8a7b8862-4490-4a45-89e4-6f909e09c3f6,2017-08-01,6,4.800000000000001,3.5999999999999996,Android,False,AU
12,bdd39ad1-1c58-4976-b7ba-85ba22edb86d,2016-03-01,8,6.4,4.8,Android,False,NL
13,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2016-08-01,1,0.8,0.6,Android,False,NL
14,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2016-09-01,6,4.800000000000001,3.5999999999999996,Android,False,NL
15,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2016-10-01,13,10.4,7.8,Android,False,NL
16,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2016-11-01,6,4.800000000000001,3.5999999999999996,Android,False,NL
17,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2016-12-01,13,10.4,7.8,Android,False,NL
18,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2017-01-01,4,3.2,2.4,Android,False,NL
19,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2017-02-01,7,5.6000000000000005,4.2,Android,False,NL
20,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2017-03-01,4,3.2,2.4,Android,False,NL
21,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2017-04-01,7,5.6000000000000005,4.2,Android,False,NL
22,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2017-05-01,13,10.4,7.8,Android,False,NL
23,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2017-06-01,11,8.8,6.6,Android,False,NL
24,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2017-07-01,6,4.800000000000001,3.5999999999999996,Android,False,NL
25,24d907cc-7f9b-49b5-b397-7b9d24c036e5,2017-08-01,3,2.4000000000000004,1.7999999999999998,Android,False,NL
26,23e4f7fb-f6d3-4107-a14a-014ec88c02c8,2016-05-01,2,1.6,1.2,Android,False,NL
27,938bfec6-b3a5-437b-9120-993e3a32765d,2016-03-01,10,8.0,6.0,iOS,True,NL
28,938bfec6-b3a5-437b-9120-993e3a32765d,2016-04-01,11,8.8,6.6,iOS,True,NL
29,9264d05f-6461-4bef-a04f-7ea0caa9d6f5,2016-07-01,13,10.4,7.8,iOS,False,AU
30,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2016-08-01,8,6.4,4.8,iOS,False,NL
31,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2016-09-01,3,2.4000000000000004,1.7999999999999998,iOS,False,NL
32,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2016-10-01,2,1.6,1.2,iOS,False,NL
33,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2016-11-01,9,7.2,5.3999999999999995,iOS,False,NL
34,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2016-12-01,4,3.2,2.4,iOS,False,NL
35,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2017-01-01,11,8.8,6.6,iOS,False,NL
36,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2017-02-01,7,5.6000000000000005,4.2,iOS,False,NL
37,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2017-03-01,7,5.6000000000000005,4.2,iOS,False,NL
38,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2017-04-01,1,0.8,0.6,iOS,False,NL
39,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2017-05-01,4,3.2,2.4,iOS,False,NL
40,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2017-06-01,10,8.0,6.0,iOS,False,NL
41,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2017-07-01,7,5.6000000000000005,4.2,iOS,False,NL
42,cb9e10ff-cbff-46c4-8ac1-69de19e5aeea,2017-08-01,6,4.800000000000001,3.5999999999999996,iOS,False,NL
43,e57de89c-b6e7-47be-9d89-6b8b3e1577d8,2016-10-01,5,4.0,3.0,Android,False,AU
44,e57de89c-b6e7-47be-9d89-6b8b3e1577d8,2016-11-01,4,3.2,2.4,Android,False,AU
45,e57de89c-b6e7-47be-9d89-6b8b3e1577d8,2016-12-01,10,8.0,6.0,Android,False,AU
46,e57de89c-b6e7-47be-9d89-6b8b3e1577d8,2017-01-01,11,8.8,6.6,Android,False,AU
47,e57de89c-b6e7-47be-9d89-6b8b3e1577d8,2017-02-01,1,0.8,0.6,Android,False,AU
